rank,model_id,rmse,ks_statistic,wasserstein_distance,std_rmse,std_correlation
1,A3,8.1508,0.6605,4.5628,7.5375,0.1263
2,A1,2.0467,0.6651,1.3713,2.6069,0.8957
3,A2,1.3062,0.8013,1.0264,1.0512,0.8316
4,B4,1.0365,0.9975,1.0186,0.0173,0.987
5,B3,0.997,1.0,0.9868,0.1267,-0.1792
