model_id,creation_time,memory_delta,total_parameters,trainable_parameters,parameters_per_second,total_time,forward_time,loss_time,backward_time,loss_value,samples_per_second,forward_fraction,loss_fraction,backward_fraction,dataset,num_samples,successful_runs
A1,0.0493769645690918,4.854166666666667,199,199,4030.21938947958,0.0748898188273112,0.021142005920410156,0.0018766721089680989,0.051627397537231445,0.0,215.88002424698786,0.2846904753957602,0.025248151598764906,0.6869391043991842,ou_process,32,3
A2,0.04249095916748047,1.2447916666666667,199,199,4683.349208843003,0.06872924168904622,0.02078700065612793,0.0006021658579508463,0.04716904958089193,0.0,232.8250277348485,0.30243260115278986,0.008722516423081037,0.6863564255620523,ou_process,32,3
A3,0.04235434532165527,10.677083333333334,199,199,4698.455341210378,0.07442911465962727,0.020528078079223633,0.0052823225657145185,0.04847367604573568,0.0,215.0378115006681,0.2758388996345428,0.07081688576441975,0.6514058469846875,ou_process,32,3
A4,0.09369421005249023,0.16666666666666666,199,199,2123.9306024194493,0.06923596064249675,0.020473241806030273,0.0017729600270589192,0.04682596524556478,0.0,231.09801498120828,0.2957010049671558,0.025603545156306407,0.6763318749521678,ou_process,32,3
B2,0.0005118846893310547,64.859375,9027,9027,17634831.023754075,0.744031031926473,0.00717926025390625,0.7279079755147299,0.008874734242757162,0.0,10.753403618807113,0.009647727662295002,0.9783285480232767,0.01193098950721831,ou_process,32,3
B3,0.002959012985229492,0.5,9027,9027,3050679.4140681652,0.017333269119262695,0.00713801383972168,0.0009693304697672526,0.00914327303568522,0.0,462.1703508249969,0.4117821573280776,0.05600378260048786,0.5274343481811502,ou_process,32,3
B4,0.0004029273986816406,0.15625,9027,9027,22403539.768047336,0.016393025716145832,0.007021029790242513,0.000463565190633138,0.008845806121826172,0.0,488.09020948614625,0.4284030751877092,0.028258097314716197,0.5395092737192646,ou_process,32,3
B5,0.0006000995635986328,-0.015625,9027,9027,15042503.856972586,0.016489346822102863,0.006969054539998372,0.00036605199178059894,0.009094715118408203,0.0,485.19170900176294,0.4226429436751657,0.022195604956324902,0.5515458296573758,ou_process,32,3
