model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,47,-3.552038699388504,199,A4Model,1.7211393,0.24526515151515152,5.013543180657367e-84,0.8703684404041692,False,1.6237164,0.4070304844310792,1.5427716
A3,64,0.00011896048920900792,199,A3Model,4.758269,0.375,1.109040345578035e-198,3.102511041809337,False,4.286229,0.6031895336902268,4.1523743
B5,80,0.4436293225735426,9027,B5Model,0.563185,0.41414141414141414,1.2897915412768566e-243,0.33782336342467556,False,0.46903867,-0.8726663335108708,0.45589197
B2,5,-0.16822345042601228,9027,B2Model,0.7082883,0.1976010101010101,1.7101648739247647e-54,0.1875277641834467,False,0.19324018,0.9456516138704263,0.17456096
B3,16,-2.8645114079117775,9027,B3Model,0.78827196,0.15214646464646464,2.154155985593337e-32,0.18463591077500616,False,0.18216954,0.8738061426292847,0.15166813
B4,17,0.18907828023657203,9027,B4Model,0.7776381,0.3614267676767677,2.9703377945093287e-184,0.366823619503098,False,0.10946088,0.881065743625081,0.097732455
A2,30,-0.38731927052140236,199,A2Model,3.3952765,0.29577020202020204,1.3889708757653924e-122,1.585534902230154,False,2.5797582,0.24678337243361212,2.4345763
B1,18,-1.5981223202030854,9027,B1Model,0.52601385,0.3721590909090909,1.2980916149662256e-195,0.2776162915711716,False,0.35948664,0.5390191880718503,0.347825
A1,37,-3.1751475632190704,199,A1FinalModel,1.4912343,0.20738636363636365,5.070829411593783e-60,0.5844766558121786,False,1.0265294,-0.06814941769893845,0.95446074
