dataset,model_id,rmse,ks_statistic,wasserstein_distance,std_rmse,std_correlation,training_epoch,training_loss,total_parameters,model_class,ks_p_value,distributions_similar,std_mean_absolute_error
ou_process,A4,2.534883,0.2815656565656566,1.2795158424903526,2.2804615,0.786005247824894,,,,,,,
ou_process,A3,1.5570685,0.2316919191919192,0.6375825257600535,0.87196386,0.1753527171622737,,,,,,,
ou_process,B5,0.51360744,0.55239898989899,0.3744718853406837,0.47583103,-0.8957664820781183,,,,,,,
ou_process,B2,1.0205075,0.4826388888888889,0.5991570490611382,0.23802601,0.6880018354086168,,,,,,,
ou_process,B3,0.64043194,0.1366792929292929,0.1421535951987258,0.055871338,0.9348313680051562,,,,,,,
ou_process,B4,0.67138356,0.2673611111111111,0.319935208626822,0.09227628,0.8395718291002114,,,,,,,
ou_process,A2,1.5684533,0.2913510101010101,0.6803733791787572,1.5938876,0.2351195013324167,,,,,,,
ou_process,B1,0.5620774,0.295770202020202,0.2503881408291808,0.44150898,0.6962493237834627,,,,,,,
ou_process,A1,2.2880628,0.2932449494949495,1.2300778869696134,1.7251037,0.6505756212383519,,,,,,,
,A3,8.150778770446777,0.6605113636363636,4.562803178364494,7.537471294403076,0.12630591335335956,20.0,0.3534131524299142,199.0,A3Model,0.0,False,6.946162
,B3,0.9969571232795715,1.0,0.9868265466908323,0.1266910284757614,-0.1791708516258612,20.0,-7.658371239900589,9027.0,B3Model,0.0,False,0.11586095
,B4,1.0364937782287598,0.9974747474747475,1.0186320111080398,0.017272917553782463,0.986976006955253,20.0,0.05682552803773433,9027.0,B4Model,0.0,False,0.015180617
,A2,1.306201696395874,0.8012941919191919,1.0264015591081885,1.0511634349822998,0.8315630395304131,20.0,-0.9312334656715393,199.0,A2Model,0.0,False,1.0112077
,A1,2.0466902256011963,0.6650883838383839,1.3713344092513324,2.6068925857543945,0.8956819518891703,13.0,-7.675751268863678,199.0,A1FinalModel,0.0,False,2.4194424
,A3,14.722395896911621,0.5969065656565656,7.4394443446418705,12.688291549682617,0.27220438420396625,20.0,0.6390893254599999,199.0,A3Model,0.0,False,11.664789
,B3,0.9979461431503296,1.0,0.9863374989261532,0.1359073370695114,-0.9604494228521397,18.0,-7.4251667857170105,9027.0,B3Model,0.0,False,0.12476483
,B4,1.1682442426681519,0.9921085858585859,1.1353591593022687,0.11070989817380905,-0.07784646796322267,10.0,0.07508153724484146,9027.0,B4Model,0.0,False,0.09800254
,A2,1.3962420225143433,0.9078282828282829,1.2381229642763938,0.5806406140327454,0.3823979157782908,20.0,-0.9231818988919258,199.0,A2Model,0.0,False,0.54749
,A1,1.5675352811813354,0.7531565656565656,1.1905982358714873,1.1767982244491577,0.7858848588269836,17.0,-7.445548415184021,199.0,A1FinalModel,0.0,False,1.0555899
,A3,1.8859894275665283,0.16240530303030304,0.720366108241687,1.1764554977416992,0.22310287671226536,20.0,0.022341427423873017,199.0,A3Model,2.5540519074561597e-73,False,1.0400598
,B3,0.8343706727027893,0.10053661616161616,0.11681512622563262,0.16531087458133698,0.965198353984909,18.0,-2.625261165201664,9027.0,B3Model,2.7744735105821678e-28,False,0.1407729
,B4,0.9014993906021118,0.14188762626262627,0.22191788742103835,0.1812603920698166,0.6144582377830463,13.0,0.15973121346905828,9027.0,B4Model,5.257323624262062e-56,False,0.14680739
,A2,3.373961925506592,0.28724747474747475,1.710562855911055,2.597308874130249,0.5520056165747357,20.0,-0.3311912305653095,199.0,A2Model,1.10815251911519e-230,False,2.3898194
,A1,3.17716121673584,0.2746212121212121,1.677615013779238,1.8489093780517578,0.8620478735333096,20.0,-2.498261585831642,199.0,A1FinalModel,1.2702774340780323e-210,False,1.7490072
