model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A3,20,0.022341427423873017,199,A3Model,1.8859894,0.16240530303030304,2.5540519074561597e-73,0.720366108241687,False,1.1764555,0.22310287671226536,1.0400598
B3,18,-2.625261165201664,9027,B3Model,0.8343707,0.10053661616161616,2.7744735105821678e-28,0.11681512622563262,False,0.16531087,0.965198353984909,0.1407729
B4,13,0.15973121346905828,9027,B4Model,0.9014994,0.14188762626262627,5.257323624262062e-56,0.22191788742103835,False,0.18126039,0.6144582377830463,0.14680739
A2,20,-0.3311912305653095,199,A2Model,3.373962,0.28724747474747475,1.10815251911519e-230,1.710562855911055,False,2.5973089,0.5520056165747357,2.3898194
A1,20,-2.498261585831642,199,A1FinalModel,3.1771612,0.2746212121212121,1.2702774340780323e-210,1.677615013779238,False,1.8489094,0.8620478735333096,1.7490072
