model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,25,-2.8526949882507324,199,A4Model,1.8710495,0.2380050505050505,4.207480065556135e-79,0.8499162311931576,False,0.93376267,0.49296886273205137,0.8828083
A3,100,-0.0016160920454191263,199,A3Model,4.309627,0.3194444444444444,2.726960157074494e-143,2.462103320204294,False,4.2053366,0.8385036031287375,3.922623
B5,100,0.6672042794525623,9027,B5Model,0.572593,0.41761363636363635,7.612589021018916e-248,0.26127495640462073,False,0.49040425,-0.8663221357073937,0.4694479
B2,12,-0.17484335927292705,9027,B2Model,0.7162863,0.1379419191919192,1.1015363148309477e-26,0.10674012807984434,False,0.1171587,0.7079774010044898,0.092499875
B3,21,-2.7008599899709225,9027,B3Model,0.7700045,0.17140151515151514,4.864022104997077e-41,0.19562178459148877,False,0.11402196,0.9281685318999202,0.090488106
B4,10,0.24601945653557777,9027,B4Model,1.0410305,0.2720959595959596,1.4444356571192002e-103,0.379610524622139,False,0.21822888,0.8781026803170735,0.20778286
A2,46,-0.31360772624611855,199,A2Model,3.3995628,0.32417929292929293,1.2277649493726398e-147,1.8659014140907098,False,1.8590025,0.43122910760115285,1.7707609
B1,42,-2.3185764258405546,9027,B1Model,0.76446307,0.25757575757575757,9.954296243633715e-93,0.23949143774696796,False,0.30339628,-0.2896536654185991,0.26473638
A1,29,-3.0633535981178284,199,A1FinalModel,1.6134592,0.2774621212121212,9.907903423522172e-108,0.7018865911861438,False,1.2683126,0.6266771026796562,1.212702
