model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,40,-3.3619496822357178,199,A4Model,2.3669727,0.29608585858585856,7.546989829110059e-123,1.1951401825958392,False,1.9732931,0.719426348502641,1.8993586
A3,98,7.552579665537351e-05,199,A3Model,2.0933578,0.22916666666666666,2.575607045187444e-73,0.9965132863766452,False,2.230944,0.5353145791997773,2.080976
B5,100,0.6373266354203224,9027,B5Model,0.6789569,0.5356691919191919,0.0,0.29642159398809836,False,0.48842555,-0.668525904581274,0.4617448
B2,20,-0.04186003963695839,9027,B2Model,0.9415598,0.6571969696969697,0.0,0.7213722503551221,False,0.34821376,-0.9516222756706693,0.30790767
B3,29,-2.8300695195794106,9027,B3Model,0.83323,0.28251262626262624,9.972157927565057e-112,0.302431648334128,False,0.22597632,0.9554320815623134,0.21405649
B4,13,0.20552128367125988,9027,B4Model,0.8073335,0.19381313131313133,1.9917390738850513e-52,0.20661744861890058,False,0.20211038,0.8350373199722005,0.18229918
A2,19,-0.3061366640031338,199,A2Model,3.0591707,0.3740530303030303,1.1765244605073326e-197,1.8356855905333167,False,2.957804,0.6557789811749365,2.8288324
B1,4,-2.193648081401564,9027,B1Model,0.7858261,0.6710858585858586,0.0,0.5882308630596714,False,0.3992227,-0.9643817589257072,0.35519585
A1,18,-2.6528738141059875,199,A1FinalModel,2.6039255,0.28377525252525254,9.718161364701329e-113,1.3269344990888392,False,1.4386121,0.47119136071778556,1.3422929
