model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,38,-2.967857301235199,199,A4Model,1.9669998,0.2389520202020202,9.783787022868662e-80,0.8518534165420362,False,1.0601354,0.5642329743709661,0.9904032
A3,100,-0.00830620135697091,199,A3Model,6.3493395,0.3557449494949495,2.1821493583653868e-178,3.516112491838921,False,4.311848,0.5381918573036164,4.188984
B5,43,0.6446786411106586,9027,B5Model,0.69083273,0.23390151515151514,2.1829754448394374e-76,0.2743869343110911,False,0.58485454,-0.8856766836398932,0.56068873
B2,7,-0.31359272124245763,9027,B2Model,1.2178828,0.2335858585858586,3.514518539488205e-76,0.4220475800807073,False,0.27699435,0.9361022851043677,0.24573055
B3,18,-2.8728002086281776,9027,B3Model,0.90845376,0.20170454545454544,8.877741745949975e-57,0.24067330316349472,False,0.08100533,0.8790763527795041,0.06374911
B4,6,0.22209018375724554,9027,B4Model,0.8103895,0.1351010101010101,1.3054577173222293e-25,0.16283662934075044,False,0.21962811,0.8820027872177147,0.1675082
A2,35,-0.35134250670671463,199,A2Model,2.1781905,0.21559343434343434,7.186421905911381e-65,0.8885595644612962,False,0.9719146,0.2255873787099325,0.8036875
B1,12,-1.5657477949657412,9027,B1Model,0.6021539,0.39551767676767674,1.298419525361957e-221,0.4135291216772712,False,0.50535834,0.6924600268792908,0.48709917
A1,31,-3.2521864771842957,199,A1FinalModel,2.3076978,0.26420454545454547,1.341105064149636e-97,1.1990736411552403,False,1.6613734,0.7672957555232922,1.5855854
