rank,model_id,rmse,ks_statistic,wasserstein_distance,std_rmse,std_correlation
1,A3,14.7224,0.5969,7.4394,12.6883,0.2722
2,A1,1.5675,0.7532,1.1906,1.1768,0.7859
3,A2,1.3962,0.9078,1.2381,0.5806,0.3824
4,B4,1.1682,0.9921,1.1354,0.1107,-0.0778
5,B3,0.9979,1.0,0.9863,0.1359,-0.9604
