model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,16,-7.542646408081055,199,A4Model,2.0144808,0.2828282828282828,5.577439707026421e-112,0.9794396751800021,False,1.293504,0.6702871850718486,1.2148384
A3,98,0.3376081863970266,199,A3Model,57.325172,0.4936868686868687,0.0,24.249441056463482,False,37.087036,-0.0027804152873447,34.795113
B5,75,0.04951948579400778,9027,B5Model,0.55802274,0.476010101010101,0.0,0.4287437453100771,False,0.5546027,-0.750103562551025,0.5384097
B2,11,0.5623612459748983,9027,B2Model,0.69202125,0.2935606060606061,9.743632497983693e-121,0.25096573907236197,False,0.24011128,0.683127936815824,0.21805725
B3,9,-7.493896096944809,9027,B3Model,0.55852944,0.47095959595959597,5.87103e-318,0.42558941119363447,False,0.542605,-0.6706235922655585,0.5257169
B4,26,0.06362263881601393,9027,B4Model,0.55953574,0.307449494949495,1.3806448807539387e-132,0.3437781293727119,False,0.42381725,0.861711040240119,0.40994224
A2,46,-0.9311449602246284,199,A2Model,2.4579756,0.2689393939393939,3.7064639484132e-101,1.2545001956286017,False,2.1078775,0.24416174580602495,1.9537901
B1,5,-0.903194210383442,9027,B1Model,0.6733817,0.25599747474747475,1.3758229103483136e-91,0.20500883998758326,False,0.17913583,0.6696626207009216,0.15575305
A1,27,-7.565753221511841,199,A1FinalModel,1.3472785,0.23674242424242425,2.9150151564435126e-78,0.49710822254162,False,0.43605316,0.7124815346830252,0.38479868
