model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A3_ADV,82,0.01509045623242855,200,AdversarialModelWrapper,1.8179114,0.255050505050505,6.59740433352951e-91,0.9222264084608083,False,1.38309,0.5104906092303966,1.3507749
A2_ADV,67,0.010156167686439233,200,AdversarialModelWrapper,1.9885992,0.24147727272727273,1.9423971352535236e-81,0.9669867248242766,False,1.8680335,0.004968586924778953,1.7753539
B5_ADV,7,1.385164667848585,9028,AdversarialModelWrapper,0.5646804,0.2734375,1.1867664855437214e-105,0.24088925336681313,False,0.35451454,0.37166341498091,0.32336167
B4_ADV,2,0.9574630632996559,9028,AdversarialModelWrapper,0.49951142,0.4275,9.918534736941777e-263,0.34348613384458987,False,0.46146846,0.9280264818014355,0.43736702
B1_ADV,6,1.389858892564007,9028,AdversarialModelWrapper,0.50737256,0.4059375,3.8559402044992853e-236,0.3369980902290536,False,0.44658822,0.6823176291137275,0.42337573
B2_ADV,6,0.9570773942396045,9028,AdversarialModelWrapper,0.51367235,0.29375,4.1114970355148104e-122,0.2942677039278442,False,0.41038805,-0.9378001341249127,0.37562492
