model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A3_ADV,82,0.01509045623242855,200,AdversarialModelWrapper,2.529324,0.32954545454545453,1.201376930822284e-152,1.3887687436582206,False,1.3171088,0.2934501732208931,1.2533743
A2_ADV,67,0.010156167686439233,200,AdversarialModelWrapper,2.1803339,0.28345959595959597,1.7411349017727007e-112,1.0846471484390974,False,1.5735162,0.23426085236723226,1.4584444
B5_ADV,7,1.385164667848585,9028,AdversarialModelWrapper,0.570769,0.389375,9.073801086969217e-217,0.30358131822962603,False,0.31715217,0.8379959198437182,0.30657956
B4_ADV,2,0.9574630632996559,9028,AdversarialModelWrapper,0.49247274,0.4178125,1.367871871614331e-250,0.32383612923924376,False,0.420439,0.8421179756416065,0.4077346
B1_ADV,6,1.389858892564007,9028,AdversarialModelWrapper,0.4780983,0.3896875,3.987004120516719e-217,0.32380719045327166,False,0.41339883,0.7190305951781009,0.40036854
B2_ADV,6,0.9570773942396045,9028,AdversarialModelWrapper,0.5140706,0.3659375,6.888548181234392e-191,0.2859523205298501,False,0.3821774,-0.8883248011104301,0.36085576
