model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A3_ADV,82,0.01509045623242855,200,AdversarialModelWrapper,2.330456,0.28535353535353536,5.2103796514121284e-114,1.2080346529635784,False,1.8934218,0.7408714247524796,1.7906114
A2_ADV,67,0.010156167686439233,200,AdversarialModelWrapper,2.1576557,0.24337121212121213,9.98817957464882e-83,1.0096020319905232,False,1.5621357,0.3601757131694166,1.4986608
B5_ADV,7,1.385164667848585,9028,AdversarialModelWrapper,0.5573331,0.25375,7.004086927940616e-91,0.3098928536655342,False,0.39799738,0.2974076431073821,0.37594613
B4_ADV,2,0.9574630632996559,9028,AdversarialModelWrapper,0.550436,0.4121875,1.095610327570119e-243,0.39950505279968523,False,0.51294404,0.8249537799843364,0.49532568
B1_ADV,6,1.389858892564007,9028,AdversarialModelWrapper,0.5687504,0.4271875,2.471787598382435e-262,0.4038997031204951,False,0.4959453,0.8277798608936712,0.47812432
B2_ADV,6,0.9570773942396045,9028,AdversarialModelWrapper,0.56632847,0.318125,1.5975948034738288e-143,0.3434708560246315,False,0.45295203,-0.934062223945348,0.42600167
