model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A3_ADV,82,0.01509045623242855,200,AdversarialModelWrapper,2.2424898,0.3128156565656566,2.5440450667089266e-137,1.1732612104098614,False,1.1810966,0.6023234109136116,1.1327424
A2_ADV,67,0.010156167686439233,200,AdversarialModelWrapper,2.4904056,0.23926767676767677,6.008331765699527e-80,1.2278584521961529,False,1.7049338,0.2530053207393252,1.6159936
B5_ADV,7,1.385164667848585,9028,AdversarialModelWrapper,0.6650608,0.3046875,1.705918707986295e-131,0.2831417828328768,False,0.4199222,0.004403390577639852,0.3901695
B4_ADV,2,0.9574630632996559,9028,AdversarialModelWrapper,0.5939388,0.4446875,4.688257003024317e-285,0.4043887467514878,False,0.52357066,0.8066054434381477,0.49966353
B1_ADV,6,1.389858892564007,9028,AdversarialModelWrapper,0.5814235,0.415,3.991426562774483e-247,0.4051513234074218,False,0.50126743,0.8632823566200195,0.47746915
B2_ADV,6,0.9570773942396045,9028,AdversarialModelWrapper,0.59748006,0.330625,3.2586724416273987e-155,0.36683793174090623,False,0.47822034,-0.904478799843013,0.44673333
