model_id,training_epoch,training_loss,total_parameters,distribution_similarity_score,moment_matching_score,path_structure_score,generation_quality_score,composite_distributional_score,rmse,ks_statistic,ks_p_value,wasserstein_distance,mean_path_correlation,mean_rel_error,std_rel_error
B3,29,-4.822110950946808,9027,0.8848872433524066,0.9615325802258508,0.6212152526886157,0.7550446798716467,0.8421621899336057,0.6333262159759072,0.0539772727272727,1.9080559391454128e-08,0.0572665431091449,-0.0336499257116379,2.533070155816042,0.1483320834121625
B4,23,0.1296654604375362,9027,0.5779198922921577,0.7503807637506449,0.9340623852524914,0.7226696545842519,0.7153616285509801,0.7170310820169724,0.1979166666666666,6.431287836524278e-109,0.2523418367026526,0.0505961979164998,29.289276714444966,0.0182540036670318
A2,25,-0.5554268434643745,199,0.6199932682598452,0.7250550695682143,1.0,0.4547109791853422,0.7109849260929366,1.409831931736769,0.1781881313131313,2.956571360566462e-88,0.5070862698682752,-0.0541679000410908,10.513808437409336,1.61796369843392
A3,25,0.1253298791125416,199,0.47593402894648285,0.5166396440097518,0.23973613759855653,0.3646565361976062,0.4297783859209906,1.6426655749471142,0.2457386363636363,2.7088491808681163e-168,0.6829552874840632,0.0129860031376758,28.104011576898156,2.137562864553037
B1,27,-1.6309553682804108,9027,0.19454729047458774,0.6850759515963897,0.24462016833091296,0.7720829769652793,0.4094740330314625,0.5892740997804745,0.3776830808080808,0.0,0.3040609195239985,0.0132505608261837,30.184518581008778,0.5202579416934673
A1,26,-3.680448681116104,199,0.2951868057892967,0.27531600424841424,0.7672780990250891,0.0,0.3541251433952608,2.5854764682965565,0.3304924242424242,1.113651656985876e-306,1.3534881793458324,0.0415618433717092,26.587102204580617,4.3471640661352655
B5,28,0.4281710013747215,9027,0.0,0.8568168370451836,0.03021105548852002,0.812693191313144,0.3443565813425735,0.4842773462115913,0.4689078282828283,0.0,0.3478773480682358,0.001636469433838,4.014407870918457,0.949924436680571
B2,18,-0.1265801066474523,9027,0.14742510939077758,0.4886087401382074,0.34630266815184724,0.6544140439685643,0.3402546038249991,0.8935043570930455,0.3997790404040404,0.0,0.5113481762433789,0.0187584883124123,59.16554518190015,0.0990393510783875
A4,26,-3.5602647960186005,199,0.38606529787950183,0.30442347600357295,0.36177245031449395,0.16018620439111786,0.3341262724548832,2.171318806297579,0.2878787878787879,1.0389552908385583e-231,1.1210891765786717,-0.019596453926256,37.173478904190645,3.316264487371341
