model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,26,-3.5602647960186005,199,A4Model,2.534883,0.2815656565656566,5.676292407903649e-111,1.2795158424903526,False,2.2804615,0.786005247824894,2.1605296
A3,25,0.12532987911254168,199,A3Model,1.5570685,0.2316919191919192,6.03504401215204e-75,0.6375825257600535,False,0.87196386,0.1753527171622737,0.79539907
B5,28,0.4281710013747215,9027,B5Model,0.51360744,0.55239898989899,0.0,0.37447188534068376,False,0.47583103,-0.8957664820781183,0.45752522
B2,18,-0.12658010664745234,9027,B2Model,1.0205075,0.4826388888888889,0.0,0.5991570490611382,False,0.23802601,0.6880018354086168,0.22573325
B3,29,-4.822110950946808,9027,B3Model,0.64043194,0.13667929292929293,3.326753892210763e-26,0.14215359519872584,False,0.055871338,0.9348313680051562,0.04588022
B4,23,0.12966546043753624,9027,B4Model,0.67138356,0.2673611111111111,5.787699421712347e-100,0.31993520862682207,False,0.09227628,0.8395718291002114,0.06972023
A2,25,-0.5554268434643745,199,A2Model,1.5684533,0.2913510101010101,6.607692545124631e-119,0.6803733791787572,False,1.5938876,0.2351195013324167,1.4683921
B1,27,-1.6309553682804108,9027,B1Model,0.5620774,0.29577020202020204,1.3889708757653924e-122,0.25038814082918087,False,0.44150898,0.6962493237834627,0.42715058
A1,26,-3.680448681116104,199,A1FinalModel,2.2880628,0.2932449494949495,1.7833589091887977e-120,1.2300778869696134,False,1.7251037,0.6505756212383519,1.5734775
