model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error
A4,43,-3.3057932555675507,199,A4Model,2.1697257,0.24084595959595959,5.195483147001652e-81,1.0732749854922885,False,1.0575144,0.45585720059908297,0.98317456
A3,95,-5.100341074038006e-06,199,A3Model,8.578564,0.3658459595959596,6.913458733830259e-189,4.900614249297012,False,11.497182,0.18587706022985523,10.981645
B5,100,0.7658950686454773,9027,B5Model,0.63866496,0.16224747474747475,8.475136927135574e-37,0.1378002630852812,False,0.5312389,0.003069300581513449,0.51371336
B2,22,-0.12247128714807332,9027,B2Model,0.6620214,0.13036616161616163,7.16336516163176e-24,0.16055227361057128,False,0.26905102,0.6537331902194788,0.2510267
B3,19,-2.478882610797882,9027,B3Model,0.89156896,0.1369949494949495,2.5260055233749129e-26,0.13065514490735397,False,0.17269874,0.9565194076524421,0.1534366
B4,21,0.21416314411908388,9027,B4Model,0.9326054,0.15467171717171718,1.8153930931685936e-33,0.2311585087063301,False,0.14030541,0.8222189687789574,0.1059346
A2,30,-0.30807477980852127,199,A2Model,2.9946141,0.3298611111111111,6.056787564838669e-153,1.599252327063249,False,1.4675237,0.36928872501616244,1.3720033
B1,24,-1.9995279799861871,9027,B1Model,1.1628827,0.29545454545454547,2.5545364897029285e-122,0.5252657081581023,False,0.3841306,0.7911884962212468,0.37262967
A1,43,-2.956542670726776,199,A1FinalModel,3.883835,0.3191287878787879,5.284512497251454e-143,2.337034364638816,False,2.8839536,0.6314681072723415,2.7449489
